TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TOSS_WINNER_MODEL,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,WIN_RATE_TEAM1,WIN_RATE_TEAM2,WINNER,WINNER_MODEL,AHP_RATIO_TEAM1,AHP_RATIO_TEAM2
KKR,1,RCB,0,RCB,0,399.66554420530326,363.7560169242637,337.66765506281837,310.4879130566968,0.56207508,0.449209,KKR,1,12.745465,9.982425
CSK,1,SRH,0,SRH,0,568.0494992919545,475.19940690000004,384.35714289999993,283.0166667,0.9349659449541284,0.4230769230769231,SRH,0,16.900712,9.026536
MI,1,DD,0,DD,0,538.7319056988158,454.17829814960527,267.2845238,239.077381,0.7778794112149532,0.4313725490196079,MI,1,15.160852,8.076035
KXIP,1,RR,0,RR,0,216.0023997663612,205.66411342814038,478.2032118791325,326.260974745041,0.44300233663366334,0.6272850980392157,KXIP,1,9.380131,12.695051
RCB,1,CSK,0,CSK,0,337.66765506281837,310.4879130566968,568.0494992919545,475.19940690000004,0.44493081904761916,0.9264662545454546,CSK,0,9.982425,16.900712
SRH,1,KKR,0,KKR,0,312.24713060624515,229.9193438270796,399.66554420530326,363.7560169242637,0.3481662857142857,0.5678673267326734,KKR,0,9.026536,12.745465
DD,1,KXIP,0,KXIP,0,194.2738851323634,173.771720838183,216.0023997663612,205.66411342814038,0.31049603883495147,0.44693576470588237,KXIP,0,8.076035,9.380131
RR,1,MI,0,MI,0,478.2032118791325,326.260974745041,538.7319056988158,454.17829814960527,0.6211949514563107,0.7833108703703703,MI,0,12.695051,15.160852
KKR,1,KXIP,0,KXIP,0,399.66554420530326,363.7560169242637,216.0023997663612,205.66411342814038,0.573546,0.45079281553398054,KKR,1,12.745465,9.380131
MI,1,CSK,0,CSK,0,538.7319056988158,454.17829814960527,568.0494992919545,475.19940690000004,0.7886426697247706,0.9318229909909909,CSK,0,15.160852,16.900712
KXIP,1,CSK,0,CSK,0,216.0023997663612,205.66411342814038,568.0494992919545,475.19940690000004,0.4464582692307692,0.9370840714285714,KXIP,1,9.380131,16.900712
KXIP,1,KKR,0,KKR,0,216.0023997663612,205.66411342814038,399.66554420530326,363.7560169242637,0.4502464,0.5791144077669903,KKR,0,9.380131,12.745465
MI,1,KKR,0,KKR,0,422.47619112499996,460.41880411611845,445.9540744968336,426.59216994541083,0.781473190909091,0.5845757307692308,KKR,0,15.160852,12.745465
CSK,1,DD,0,DD,0,497.5668767685145,462.0732530836448,247.3797619,273.0392857,0.9287912920353981,0.4230769230769231,CSK,1,16.900712,8.076035
RR,1,KXIP,0,KXIP,0,354.6137071806181,303.34874108295554,346.12692,274.3904360169624,0.615221923076923,0.44599879245283014,RR,1,12.695051,9.380131
CSK,1,SRH,0,CSK,1,497.5668767685145,462.0732530836448,300.1107143000001,269.29744900000003,0.9339866666666666,0.4245283018867925,CSK,1,16.900712,9.026536
KKR,1,RCB,0,RCB,0,445.9540744968336,426.59216994541083,223.93910916875,234.88176018002264,0.5899330285714285,0.440733358490566,RCB,0,12.745465,9.982425
DD,1,RR,0,RR,0,179.80624827868172,198.4566935360451,354.6137071806181,303.34874108295554,0.3045818285714286,0.6202441428571428,RR,0,8.076035,12.695051
KXIP,1,MI,0,MI,0,346.12692,274.3904360169624,422.47619112499996,460.41880411611845,0.44183057943925225,0.7744328918918918,KXIP,1,9.380131,15.160852
RCB,1,SRH,0,SRH,0,223.93910916875,234.88176018002264,300.1107143000001,269.29744900000003,0.445010785046729,0.4205607476635514,SRH,0,9.982425,9.026536
MI,1,RR,0,MI,1,422.47619112499996,460.41880411611845,354.6137071806181,303.34874108295554,0.7675183125,0.6251716037735849,RR,0,15.160852,12.695051
CSK,1,KKR,0,KKR,0,497.5668767685145,462.0732530836448,445.9540744968336,426.59216994541083,0.9390916869565217,0.5843676226415094,KKR,0,16.900712,12.745465
KXIP,1,DD,0,KXIP,1,346.12692,274.3904360169624,247.3797619,273.0392857,0.44555633333333333,0.4150943396226415,DD,0,9.380131,8.076035
SRH,1,RR,0,RR,0,243.80634296874848,218.77401599821204,354.6137071806181,303.34874108295554,0.34601711111111105,0.6300069626168223,RR,0,9.026536,12.695051
MI,1,CSK,0,MI,1,422.47619112499996,460.41880411611845,497.5668767685145,462.0732530836448,0.7607261150442477,0.9309960689655171,CSK,0,15.160852,16.900712
DD,1,SRH,0,DD,1,179.80624827868172,198.4566935360451,218.133371913955,195.736965723507,0.30568163551401867,0.30674108256880733,DD,1,8.076035,9.026536
KXIP,1,KKR,0,KKR,0,346.12692,274.3904360169624,445.9540744968336,426.59216994541083,0.4414686605504587,0.5896267289719626,KKR,0,9.380131,12.745465
CSK,1,RR,0,CSK,1,497.5668767685145,462.0732530836448,354.6137071806181,303.34874108295554,0.9360393846153846,0.6347527777777778,RR,0,16.900712,12.695051
MI,1,RCB,0,RCB,0,422.47619112499996,460.41880411611845,223.93910916875,234.88176018002264,0.7540530789473685,0.4408903148148149,MI,1,15.160852,9.982425
DD,1,KKR,0,KKR,0,179.80624827868172,198.4566935360451,445.9540744968336,426.59216994541083,0.3095812777777778,0.5947884444444445,KKR,0,8.076035,12.745465
RR,1,KXIP,0,KXIP,0,354.6137071806181,303.34874108295554,346.12692,274.3904360169624,0.6394115137614679,0.4374553090909091,KXIP,0,12.695051,9.380131
SRH,1,KKR,0,KKR,0,243.80634296874848,218.77401599821204,445.9540744968336,426.59216994541083,0.3397258909090909,0.5998554495412843,SRH,1,9.026536,12.745465
CSK,1,RCB,0,RCB,0,497.5668767685145,462.0732530836448,223.93910916875,234.88176018002264,0.9281068474576272,0.4368454495412845,CSK,1,16.900712,9.982425
DD,1,MI,0,MI,0,179.80624827868172,198.4566935360451,422.47619112499996,460.41880411611845,0.30674108256880733,0.7593611130434782,DD,1,8.076035,15.160852
RR,1,RCB,0,RCB,0,354.6137071806181,303.34874108295554,223.93910916875,234.88176018002264,0.6335986818181818,0.4328741272727273,RCB,0,12.695051,9.982425
MI,1,SRH,0,MI,1,422.47619112499996,460.41880411611845,300.1107143000001,269.29744900000003,0.7528148965517241,0.4234234234234234,MI,1,15.160852,9.026536
CSK,1,KXIP,0,CSK,1,497.5668767685145,462.0732530836448,346.12692,274.3904360169624,0.9330896806722689,0.44111978378378375,CSK,1,16.900712,9.380131
DD,1,RCB,0,RCB,0,179.80624827868172,198.4566935360451,223.93910916875,234.88176018002264,0.3105601909090909,0.4370682162162163,RCB,0,8.076035,9.982425
