,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
636,7900,2018,Hyderabad,SRH,MI,1,SRH,0,SRH,265.6601307,304.02521010000004,398.85714289999993,319.8769841,field,normal,SRH,0,0,0,0,0,0.14533965244865718,0.11216429699842022
637,7901,2018,Bengaluru,RCB,KXIP,1,RCB,0,RCB,244.21428569999998,268.8730159,399.46153849999996,309.8255495,field,normal,RCB,0,0,0,0,0,0.11058451816745657,0.11216429699842022
638,7902,2018,Mumbai,MI,MI,1,DD,0,DD,265.6601307,304.02521010000004,272.3392857,275.0734127,field,normal,DD,0,0,0,0,1,0.14533965244865718,0.09636650868878358
639,7903,2018,Kolkata,KKR,KKR,1,SRH,0,SRH,256.15625,259.9321925,398.85714289999993,319.8769841,field,normal,SRH,0,0,0,0,1,0.1216429699842022,0.11216429699842022
640,7904,2018,Bengaluru,RCB,RR,1,RCB,0,RCB,,,399.46153849999996,309.8255495,field,normal,RR,19,0,1,0,0,0.0995260663507109,0.11216429699842022
641,7905,2018,Mohali,KXIP,KXIP,1,CSK,0,CSK,244.21428569999998,268.8730159,,,field,normal,KXIP,4,0,1,0,1,0.11058451816745657,0.12480252764612955
642,7906,2018,Kolkata,KKR,KKR,1,DD,0,DD,256.15625,259.9321925,272.3392857,275.0734127,field,normal,KKR,71,0,1,0,1,0.1216429699842022,0.09636650868878358
643,7907,2018,Mumbai,MI,MI,1,RCB,0,RCB,265.6601307,304.02521010000004,399.46153849999996,309.8255495,field,normal,MI,46,0,1,0,1,0.14533965244865718,0.11216429699842022
644,7908,2018,Jaipur,RR,RR,1,KKR,0,KKR,,,256.15625,259.9321925,field,normal,KKR,0,0,0,0,1,0.0995260663507109,0.1216429699842022
645,7909,2018,Mohali,KXIP,KXIP,1,SRH,0,KXIP,244.21428569999998,268.8730159,398.85714289999993,319.8769841,bat,normal,KXIP,15,1,1,1,1,0.11058451816745657,0.11216429699842022
646,7910,2018,Pune,RPS,CSK,1,RR,0,RR,,,,,field,normal,CSK,64,0,1,0,2,0.12480252764612955,0.0995260663507109
647,7911,2018,Kolkata,KKR,KKR,1,KXIP,0,KXIP,256.15625,259.9321925,244.21428569999998,268.8730159,field,normal,KXIP,0,0,0,0,1,0.1216429699842022,0.11058451816745657
648,7912,2018,Bengaluru,RCB,DD,1,RCB,0,RCB,272.3392857,275.0734127,399.46153849999996,309.8255495,field,normal,RCB,0,0,0,0,0,0.09636650868878358,0.11216429699842022
649,7913,2018,Hyderabad,SRH,CSK,1,SRH,0,SRH,,,398.85714289999993,319.8769841,field,normal,CSK,4,0,1,0,0,0.12480252764612955,0.11216429699842022
650,7914,2018,Jaipur,RR,MI,1,RR,0,MI,265.6601307,304.02521010000004,,,bat,normal,RR,0,1,0,1,0,0.14533965244865718,0.0995260663507109
651,7915,2018,Delhi,DD,KXIP,1,DD,0,DD,244.21428569999998,268.8730159,272.3392857,275.0734127,field,normal,KXIP,4,0,1,0,0,0.11058451816745657,0.09636650868878358
652,7916,2018,Mumbai,MI,SRH,1,MI,0,MI,398.85714289999993,319.8769841,265.6601307,304.02521010000004,field,normal,SRH,31,0,1,0,0,0.11216429699842022,0.14533965244865718
653,7917,2018,Bengaluru,RCB,RCB,1,CSK,0,CSK,399.46153849999996,309.8255495,,,field,normal,CSK,0,0,0,0,1,0.11216429699842022,0.12480252764612955
