,Unnamed: 0,ID,SEASON,CITY,CITY_Corrrected,TEAM1,TEAM1_MODEL,TEAM2,TEAM2_MODEL,TOSS_WINNER,TEAM1_STRENGTH,TEAM1_CUMU_STRENGTH,TEAM2_STRENGTH,TEAM2_CUMU_STRENGTH,TOSS_DECISION,RESULT,WINNER,WIN_BY_RUNS,TOSS_WINNER_MODEL,WINNER_MODEL,TOSS_DECISION_MODEL,CITY_MODEL,WIN_RATE_TEAM1,WIN_RATE_TEAM2
95,95,155,2009,Kimberley,Kimberley,SRH,1,RR,0,SRH,251.8548469,251.8548469,251.3936012,251.3936012,bat,normal,SRH,53,1,1,1,2,0.08333333333333333,0.1875
96,96,156,2009,Centurion,Centurion,KKR,1,RCB,0,RCB,224.5290543,224.5290543,281.7181509,281.7181509,field,normal,RCB,0,0,0,0,2,0.07216494845360824,0.09278350515463918
97,97,157,2009,Centurion,Centurion,KXIP,1,MI,0,KXIP,233.5653872,233.5653872,336.7994228,336.7994228,bat,normal,MI,0,1,0,1,2,0.15306122448979592,0.12244897959183673
98,98,158,2009,Durban,Durban,DD,1,SRH,0,SRH,305.1106061000001,305.1106061000001,251.8548469,251.8548469,field,normal,DD,12,0,1,0,2,0.15151515151515152,0.08080808080808081
99,99,159,2009,Durban,Durban,CSK,1,RCB,0,CSK,260.9975198,260.9975198,281.7181509,281.7181509,bat,normal,RCB,0,1,0,1,2,0.15,0.1
100,100,160,2009,Durban,Durban,RR,1,MI,0,RR,251.3936012,251.3936012,336.7994228,336.7994228,bat,normal,RR,2,1,1,1,2,0.18811881188118812,0.1188118811881188
101,101,161,2009,Bloemfontein,Bloemfontein,DD,1,KXIP,0,KXIP,305.1106061000001,305.1106061000001,233.5653872,233.5653872,field,normal,KXIP,0,0,0,0,2,0.14705882352941177,0.1568627450980392
102,102,162,2009,Port Elizabeth,Port Elizabeth,MI,1,CSK,0,MI,336.7994228,336.7994228,260.9975198,260.9975198,bat,normal,CSK,0,1,0,1,2,0.11650485436893204,0.1553398058252427
103,103,163,2009,Johannesburg,Johannesburg,KKR,1,SRH,0,SRH,224.5290543,224.5290543,251.8548469,251.8548469,field,normal,SRH,0,0,0,0,2,0.0673076923076923,0.08653846153846154
104,104,164,2009,Johannesburg,Johannesburg,KXIP,1,SRH,0,SRH,233.5653872,233.5653872,251.8548469,251.8548469,field,normal,KXIP,1,0,1,0,2,0.1619047619047619,0.08571428571428572
105,105,165,2009,Bloemfontein,Bloemfontein,DD,1,RR,0,DD,305.1106061000001,305.1106061000001,251.3936012,251.3936012,bat,normal,DD,14,1,1,1,2,0.1509433962264151,0.1792452830188679
106,106,166,2009,Centurion,Centurion,CSK,1,KKR,0,CSK,260.9975198,260.9975198,224.5290543,224.5290543,bat,normal,KKR,0,1,0,1,2,0.14953271028037382,0.07476635514018691
107,107,167,2009,Johannesburg,Johannesburg,DD,1,RCB,0,DD,305.1106061000001,305.1106061000001,281.7181509,281.7181509,bat,normal,RCB,0,1,0,1,2,0.14814814814814814,0.10185185185185185
108,108,168,2009,Durban,Durban,RR,1,KKR,0,KKR,251.3936012,251.3936012,224.5290543,224.5290543,field,normal,KKR,0,0,0,0,2,0.1743119266055046,0.08256880733944955
